organism,genome,symbol,gene_id,gene_number,chr,start,end,strand
Mus musculus,mm10,Ly86,ENSMUSG00000021423.6,10666,chr13,37345208,37419036,+
Mus musculus,mm10,Ly9,ENSMUSG00000004707.14,10667,chr1,171588624,171607410,-
Mus musculus,mm10,Ly96,ENSMUSG00000025779.10,10668,chr1,16688051,16709611,+
Mus musculus,mm10,Lyar,ENSMUSG00000067367.9,10669,chr5,38220470,38234306,+
Mus musculus,mm10,Lyg1,ENSMUSG00000026085.11,10670,chr1,37946736,37957759,-
Mus musculus,mm10,Lyg2,ENSMUSG00000061584.6,10671,chr1,37905923,37916493,-
Mus musculus,mm10,Lyl1,ENSMUSG00000034041.5,10672,chr8,84701449,84704940,+
Mus musculus,mm10,Lyn,ENSMUSG00000042228.14,10673,chr4,3678115,3813122,+
Mus musculus,mm10,Lynx1,ENSMUSG00000022594.14,10674,chr15,74747852,74753046,-
Mus musculus,mm10,Lypd1,ENSMUSG00000026344.9,10675,chr1,125867622,125913101,-
Mus musculus,mm10,Lypd10,ENSMUSG00000045587.9,10676,chr7,24709242,24714535,+
Mus musculus,mm10,Lypd11,ENSMUSG00000058717.8,10677,chr7,24715023,24726908,-
Mus musculus,mm10,Lypd2,ENSMUSG00000022595.7,10678,chr15,74732247,74734329,-
Mus musculus,mm10,Lypd3,ENSMUSG00000057454.5,10679,chr7,24636550,24641118,+
Mus musculus,mm10,Lypd4,ENSMUSG00000062732.10,10680,chr7,24864620,24869941,-
Mus musculus,mm10,Lypd5,ENSMUSG00000030484.5,10681,chr7,24349196,24355109,+
Mus musculus,mm10,Lypd6,ENSMUSG00000050447.15,10682,chr2,50066429,50193569,+
Mus musculus,mm10,Lypd6b,ENSMUSG00000026765.12,10683,chr2,49787688,49948849,+
Mus musculus,mm10,Lypd8,ENSMUSG00000013643.13,10684,chr11,58379043,58390728,+
Mus musculus,mm10,Lypd9,ENSMUSG00000052642.3,10685,chr11,58446149,58452923,-
Mus musculus,mm10,Lypla1,ENSMUSG00000025903.14,10686,chr1,4807788,4848410,+
Mus musculus,mm10,Lypla2,ENSMUSG00000028670.14,10687,chr4,135968224,135972626,-
Mus musculus,mm10,Lyplal1,ENSMUSG00000039246.8,10688,chr1,186087731,186117310,-
Mus musculus,mm10,Lyrm1,ENSMUSG00000030922.12,10689,chr7,119895861,119956963,+
Mus musculus,mm10,Lyrm2,ENSMUSG00000045854.4,10690,chr4,32800253,32801559,+
Mus musculus,mm10,Lyrm4,ENSMUSG00000046573.7,10691,chr13,35978395,36117526,-
Mus musculus,mm10,Lyrm7,ENSMUSG00000020268.14,10692,chr11,54826866,54860916,-
Mus musculus,mm10,Lyrm9,ENSMUSG00000072640.11,10693,chr11,78826584,78846870,+
Mus musculus,mm10,Lysmd1,ENSMUSG00000053769.5,10694,chr3,95134088,95139518,+
Mus musculus,mm10,Lysmd2,ENSMUSG00000032184.5,10695,chr9,75625741,75637771,+
Mus musculus,mm10,Lysmd3,ENSMUSG00000035840.7,10696,chr13,81657663,81672871,+
Mus musculus,mm10,Lysmd4,ENSMUSG00000043831.12,10697,chr7,67222544,67307330,+
Mus musculus,mm10,Lyst,ENSMUSG00000019726.12,10698,chr13,13590397,13778803,+
Mus musculus,mm10,Lyve1,ENSMUSG00000030787.4,10699,chr7,110850607,110863239,-
Mus musculus,mm10,Lyz1,ENSMUSG00000069515.6,10700,chr10,117287797,117292868,-
Mus musculus,mm10,Lyz2,ENSMUSG00000069516.8,10701,chr10,117277331,117282321,-
Mus musculus,mm10,Lyzl1,ENSMUSG00000024233.10,10702,chr18,4165832,4182232,+
Mus musculus,mm10,Lyzl4,ENSMUSG00000032530.14,10703,chr9,121577843,121642096,-
Mus musculus,mm10,Lyzl6,ENSMUSG00000020945.13,10704,chr11,103631070,103638890,-
Mus musculus,mm10,Lzic,ENSMUSG00000028990.13,10705,chr4,149485229,149496668,+
Mus musculus,mm10,Lztfl1,ENSMUSG00000025245.14,10706,chr9,123694416,123717697,-
Mus musculus,mm10,Lztr1,ENSMUSG00000022761.12,10707,chr16,17508688,17526333,+
Mus musculus,mm10,Lzts1,ENSMUSG00000036306.13,10708,chr8,69132669,69184225,-
Mus musculus,mm10,Lzts2,ENSMUSG00000035342.14,10709,chr19,45014414,45027111,+
Mus musculus,mm10,Lzts3,ENSMUSG00000037703.14,10710,chr2,130632839,130642803,-
Mus musculus,mm10,M1ap,ENSMUSG00000030041.9,10711,chr6,82946902,83030309,+
Mus musculus,mm10,M6pr,ENSMUSG00000007458.14,10712,chr6,122308720,122317680,+
Mus musculus,mm10,Maats1,ENSMUSG00000022805.17,10713,chr16,38297754,38342143,-
Mus musculus,mm10,Mab21l1,ENSMUSG00000056947.5,10714,chr3,55782510,55785001,+
Mus musculus,mm10,Mab21l2,ENSMUSG00000057777.4,10715,chr3,86545581,86548629,-
Mus musculus,mm10,Mab21l3,ENSMUSG00000044313.13,10716,chr3,101813076,101848959,-
Mus musculus,mm10,Mab21l4,ENSMUSG00000034159.12,10717,chr1,93151349,93160948,-
Mus musculus,mm10,Macc1,ENSMUSG00000041886.7,10718,chr12,119314270,119469987,+
Mus musculus,mm10,Macf1,ENSMUSG00000028649.21,10719,chr4,123349633,123684360,-
Mus musculus,mm10,Maco1,ENSMUSG00000028826.14,10720,chr4,134802759,134853345,-
Mus musculus,mm10,Macrod1,ENSMUSG00000036278.7,10721,chr19,7056810,7198057,+
Mus musculus,mm10,Macrod2,ENSMUSG00000068205.14,10722,chr2,140395309,142392966,+
Mus musculus,mm10,Macroh2a1,ENSMUSG00000015937.15,10723,chr13,56073619,56136361,-
Mus musculus,mm10,Macroh2a2,ENSMUSG00000020086.6,10724,chr10,61738665,61784147,-
Mus musculus,mm10,Mad1l1,ENSMUSG00000029554.15,10725,chr5,140008689,140321552,-
Mus musculus,mm10,Mad2l1,ENSMUSG00000029910.14,10726,chr6,66535390,66547220,+
Mus musculus,mm10,Mad2l1bp,ENSMUSG00000034509.9,10727,chr17,46147387,46153553,-
Mus musculus,mm10,Mad2l2,ENSMUSG00000029003.11,10728,chr4,148130384,148145699,+
Mus musculus,mm10,Madcam1,ENSMUSG00000020310.9,10729,chr10,79664559,79668537,+
Mus musculus,mm10,Madd,ENSMUSG00000040687.16,10730,chr2,91137360,91183837,-
Mus musculus,mm10,Maea,ENSMUSG00000079562.7,10731,chr5,33335509,33373296,+
Mus musculus,mm10,Mael,ENSMUSG00000040629.8,10732,chr1,166201201,166238747,-
Mus musculus,mm10,Maf,ENSMUSG00000055435.6,10733,chr8,115682942,115707794,-
Mus musculus,mm10,Maf1,ENSMUSG00000022553.16,10734,chr15,76351294,76354380,+
Mus musculus,mm10,Mafa,ENSMUSG00000047591.5,10735,chr15,75745490,75748228,-
Mus musculus,mm10,Mafb,ENSMUSG00000074622.4,10736,chr2,160363703,160367065,-
Mus musculus,mm10,Maff,ENSMUSG00000042622.14,10737,chr15,79346621,79359076,+
Mus musculus,mm10,Mafg,ENSMUSG00000051510.13,10738,chr11,120625117,120633600,-
Mus musculus,mm10,Mafk,ENSMUSG00000018143.10,10739,chr5,139791513,139802653,+
Mus musculus,mm10,Mag,ENSMUSG00000036634.15,10740,chr7,30899176,30914873,-
Mus musculus,mm10,Magea1,ENSMUSG00000096644.1,10741,chrX,155088686,155089793,-
Mus musculus,mm10,Magea10,ENSMUSG00000043453.5,10742,chrX,72381870,72386858,-
Mus musculus,mm10,Magea2,ENSMUSG00000055746.9,10743,chrX,155027201,155093666,-
Mus musculus,mm10,Magea3,ENSMUSG00000094196.2,10744,chrX,154948543,154949505,-
Mus musculus,mm10,Magea4,ENSMUSG00000033343.1,10745,chrX,72222017,72222964,+
Mus musculus,mm10,Magea5,ENSMUSG00000079349.9,10746,chrX,155053061,155063145,-
Mus musculus,mm10,Magea6,ENSMUSG00000063728.10,10747,chrX,154924012,154935987,-
Mus musculus,mm10,Magea8,ENSMUSG00000079350.2,10748,chrX,154985775,154995850,-
Mus musculus,mm10,Mageb1,ENSMUSG00000062162.2,10749,chrX,92015191,92016333,-
Mus musculus,mm10,Mageb16,ENSMUSG00000046942.17,10750,chrX,79623231,79671435,-
Mus musculus,mm10,Mageb18,ENSMUSG00000067649.3,10751,chrX,92118879,92599572,-
Mus musculus,mm10,Mageb2,ENSMUSG00000073069.2,10752,chrX,91331690,91333360,+
Mus musculus,mm10,Mageb3,ENSMUSG00000074881.4,10753,chr2,121953752,121956092,-
Mus musculus,mm10,Mageb4,ENSMUSG00000035427.18,10754,chrX,86250254,86305093,-
Mus musculus,mm10,Mageb5,ENSMUSG00000061392.2,10755,chrX,91779544,91783018,-
Mus musculus,mm10,Maged1,ENSMUSG00000025151.16,10756,chrX,94535474,94542143,-
Mus musculus,mm10,Maged2,ENSMUSG00000025268.15,10757,chrX,150806370,150814345,-
Mus musculus,mm10,Magee1,ENSMUSG00000031227.8,10758,chrX,105120378,105123927,+
Mus musculus,mm10,Magee2,ENSMUSG00000031224.6,10759,chrX,104854952,104857267,-
Mus musculus,mm10,Mageh1,ENSMUSG00000047238.4,10760,chrX,153036166,153037575,-
Mus musculus,mm10,Magel2,ENSMUSG00000056972.6,10761,chr7,62377010,62381640,+
Mus musculus,mm10,Magi1,ENSMUSG00000045095.16,10762,chr6,93675455,94283917,-
Mus musculus,mm10,Magi2,ENSMUSG00000040003.18,10763,chr5,19227036,20704792,+
Mus musculus,mm10,Magi3,ENSMUSG00000052539.15,10764,chr3,104013259,104220374,-
Mus musculus,mm10,Magix,ENSMUSG00000031147.8,10765,chrX,7673164,7681251,-
Mus musculus,mm10,Magoh,ENSMUSG00000028609.6,10766,chr4,107879755,107887424,+
Mus musculus,mm10,Magohb,ENSMUSG00000030188.12,10767,chr6,131284388,131293244,-
Mus musculus,mm10,Magt1,ENSMUSG00000031232.17,10768,chrX,105968084,106011906,-
Mus musculus,mm10,Maip1,ENSMUSG00000025971.6,10769,chr1,57406328,57417953,+
Mus musculus,mm10,Majin,ENSMUSG00000024786.9,10770,chr19,6184388,6224225,+
Mus musculus,mm10,Mak,ENSMUSG00000021363.14,10771,chr13,41025008,41079706,-
Mus musculus,mm10,Mak16,ENSMUSG00000031578.5,10772,chr8,31159463,31168764,-
Mus musculus,mm10,Mal,ENSMUSG00000027375.14,10773,chr2,127633226,127656695,-
Mus musculus,mm10,Mal2,ENSMUSG00000024479.3,10774,chr15,54571192,54602847,+
Mus musculus,mm10,Mall,ENSMUSG00000027377.2,10775,chr2,127704386,127729932,-
Mus musculus,mm10,Malrd1,ENSMUSG00000075520.5,10776,chr2,15526479,16255555,+
Mus musculus,mm10,Malsu1,ENSMUSG00000029815.12,10777,chr6,49073795,49086751,+
Mus musculus,mm10,Malt1,ENSMUSG00000032688.9,10778,chr18,65430938,65479067,+
Mus musculus,mm10,Mamdc2,ENSMUSG00000033207.7,10779,chr19,23302609,23448442,-
Mus musculus,mm10,Mamdc4,ENSMUSG00000026941.16,10780,chr2,25563115,25574845,-
Mus musculus,mm10,Maml1,ENSMUSG00000050567.16,10781,chr11,50255634,50292311,-
Mus musculus,mm10,Maml2,ENSMUSG00000031925.17,10782,chr9,13297957,13709388,+
Mus musculus,mm10,Maml3,ENSMUSG00000061143.15,10783,chr3,51685907,52105076,-
Mus musculus,mm10,Mamld1,ENSMUSG00000059401.14,10784,chrX,71050240,71156056,+
Mus musculus,mm10,Mamstr,ENSMUSG00000042918.17,10785,chr7,45639977,45646521,+
Mus musculus,mm10,Man1a,ENSMUSG00000003746.16,10786,chr10,53904785,54076609,-
Mus musculus,mm10,Man1a2,ENSMUSG00000008763.16,10787,chr3,100562208,100685503,-
Mus musculus,mm10,Man1b1,ENSMUSG00000036646.13,10788,chr2,25332338,25352212,+
Mus musculus,mm10,Man1c1,ENSMUSG00000037306.13,10789,chr4,134561690,134704290,-
Mus musculus,mm10,Man2a1,ENSMUSG00000024085.13,10790,chr17,64600736,64755110,+
Mus musculus,mm10,Man2a2,ENSMUSG00000038886.10,10791,chr7,80349097,80371375,-
Mus musculus,mm10,Man2b1,ENSMUSG00000005142.10,10792,chr8,85083270,85098282,+
Mus musculus,mm10,Man2b2,ENSMUSG00000029119.9,10793,chr5,36806921,36830653,-
Mus musculus,mm10,Man2c1,ENSMUSG00000032295.15,10794,chr9,57130690,57142722,+
Mus musculus,mm10,Manba,ENSMUSG00000028164.15,10795,chr3,135485611,135571404,+
Mus musculus,mm10,Manbal,ENSMUSG00000063019.5,10796,chr2,157367594,157396763,+
Mus musculus,mm10,Manea,ENSMUSG00000040520.7,10797,chr4,26324506,26346891,-
Mus musculus,mm10,Maneal,ENSMUSG00000042763.9,10798,chr4,124855239,124862171,-
Mus musculus,mm10,Manf,ENSMUSG00000032575.16,10799,chr9,106838312,106891979,-
Mus musculus,mm10,Mansc1,ENSMUSG00000032718.4,10800,chr6,134609207,134632488,-
Mus musculus,mm10,Mansc4,ENSMUSG00000072662.2,10801,chr6,147075060,147087032,-
Mus musculus,mm10,Maoa,ENSMUSG00000025037.6,10802,chrX,16619698,16687818,+
Mus musculus,mm10,Maob,ENSMUSG00000040147.14,10803,chrX,16709282,16817366,-
Mus musculus,mm10,Map10,ENSMUSG00000050930.5,10804,chr8,125669818,125673359,+
Mus musculus,mm10,Map11,ENSMUSG00000036948.17,10805,chr5,138259656,138264033,-
Mus musculus,mm10,Map1a,ENSMUSG00000027254.13,10806,chr2,121289600,121310832,+
Mus musculus,mm10,Map1b,ENSMUSG00000052727.6,10807,chr13,99421446,99516540,-
Mus musculus,mm10,Map1lc3a,ENSMUSG00000027602.9,10808,chr2,155276297,155278073,+
Mus musculus,mm10,Map1lc3b,ENSMUSG00000031812.16,10809,chr8,121590361,121598760,+
Mus musculus,mm10,Map1s,ENSMUSG00000019261.3,10810,chr8,70905932,70917529,+
Mus musculus,mm10,Map2,ENSMUSG00000015222.18,10811,chr1,66175273,66442583,+
Mus musculus,mm10,Map2k1,ENSMUSG00000004936.8,10812,chr9,64185770,64253631,-
Mus musculus,mm10,Map2k2,ENSMUSG00000035027.18,10813,chr10,81105915,81133975,+
Mus musculus,mm10,Map2k3,ENSMUSG00000018932.9,10814,chr11,60932033,60952811,+
Mus musculus,mm10,Map2k4,ENSMUSG00000033352.11,10815,chr11,65688243,65788297,-
Mus musculus,mm10,Map2k5,ENSMUSG00000058444.8,10816,chr9,63163768,63377902,-
Mus musculus,mm10,Map2k6,ENSMUSG00000020623.11,10817,chr11,110399122,110525522,+
Mus musculus,mm10,Map2k7,ENSMUSG00000002948.19,10818,chr8,4238740,4247897,+
Mus musculus,mm10,Map3k1,ENSMUSG00000021754.17,10819,chr13,111746428,111808993,-
Mus musculus,mm10,Map3k10,ENSMUSG00000040390.13,10820,chr7,27656375,27674598,-
Mus musculus,mm10,Map3k11,ENSMUSG00000004054.9,10821,chr19,5688742,5702865,+
Mus musculus,mm10,Map3k12,ENSMUSG00000023050.9,10822,chr15,102497646,102517064,-
Mus musculus,mm10,Map3k13,ENSMUSG00000033618.7,10823,chr16,21794346,21933439,+
Mus musculus,mm10,Map3k14,ENSMUSG00000020941.7,10824,chr11,103219762,103267472,-
Mus musculus,mm10,Map3k15,ENSMUSG00000031303.8,10825,chrX,159988433,160123351,+
Mus musculus,mm10,Map3k19,ENSMUSG00000051590.10,10826,chr1,127814791,127855031,-
Mus musculus,mm10,Map3k2,ENSMUSG00000024383.9,10827,chr18,32163089,32236751,+
Mus musculus,mm10,Map3k20,ENSMUSG00000004085.14,10828,chr2,72285637,72442610,+
Mus musculus,mm10,Map3k21,ENSMUSG00000031853.5,10829,chr8,125910450,125947440,+
Mus musculus,mm10,Map3k3,ENSMUSG00000020700.11,10830,chr11,106084613,106155446,+
Mus musculus,mm10,Map3k4,ENSMUSG00000014426.9,10831,chr17,12227621,12318796,-
Mus musculus,mm10,Map3k5,ENSMUSG00000071369.11,10832,chr10,19934472,20142753,+
Mus musculus,mm10,Map3k6,ENSMUSG00000028862.6,10833,chr4,133240818,133252929,+
Mus musculus,mm10,Map3k7,ENSMUSG00000028284.13,10834,chr4,31964097,32023467,+
Mus musculus,mm10,Map3k7cl,ENSMUSG00000025610.7,10835,chr16,87553330,87595336,+
Mus musculus,mm10,Map3k8,ENSMUSG00000024235.11,10836,chr18,4331327,4353015,-
Mus musculus,mm10,Map3k9,ENSMUSG00000042724.8,10837,chr12,81721010,81781175,-
Mus musculus,mm10,Map4,ENSMUSG00000032479.15,10838,chr9,109931460,110083955,+
Mus musculus,mm10,Map4k1,ENSMUSG00000037337.11,10839,chr7,28982050,29003279,+
Mus musculus,mm10,Map4k2,ENSMUSG00000024948.15,10840,chr19,6341135,6355615,+
Mus musculus,mm10,Map4k3,ENSMUSG00000024242.15,10841,chr17,80580512,80728485,-
Mus musculus,mm10,Map4k4,ENSMUSG00000026074.15,10842,chr1,39900913,40026310,+
Mus musculus,mm10,Map4k5,ENSMUSG00000034761.15,10843,chr12,69803750,69893200,-
Mus musculus,mm10,Map6,ENSMUSG00000055407.14,10844,chr7,99267447,99337137,+
Mus musculus,mm10,Map6d1,ENSMUSG00000041205.8,10845,chr16,20233303,20241358,-
Mus musculus,mm10,Map7,ENSMUSG00000019996.17,10846,chr10,20148471,20281590,+
Mus musculus,mm10,Map7d1,ENSMUSG00000028849.17,10847,chr4,126232167,126256343,-
Mus musculus,mm10,Map7d2,ENSMUSG00000041020.14,10848,chrX,159414572,159498757,+
Mus musculus,mm10,Map7d3,ENSMUSG00000067878.13,10849,chrX,56797858,56822326,-
Mus musculus,mm10,Map9,ENSMUSG00000033900.13,10850,chr3,82358044,82395268,+
Mus musculus,mm10,Mapk1,ENSMUSG00000063358.17,10851,chr16,16983382,17047453,+
Mus musculus,mm10,Mapk10,ENSMUSG00000046709.18,10852,chr5,102907948,103211334,-
Mus musculus,mm10,Mapk11,ENSMUSG00000053137.7,10853,chr15,89142486,89149628,-
Mus musculus,mm10,Mapk12,ENSMUSG00000022610.10,10854,chr15,89130584,89140703,-
Mus musculus,mm10,Mapk13,ENSMUSG00000004864.13,10855,chr17,28769297,28780233,+
Mus musculus,mm10,Mapk14,ENSMUSG00000053436.15,10856,chr17,28691329,28748406,+
Mus musculus,mm10,Mapk15,ENSMUSG00000063704.13,10857,chr15,75993769,75999154,+
Mus musculus,mm10,Mapk1ip1,ENSMUSG00000041775.7,10858,chr7,138835823,138846273,-
Mus musculus,mm10,Mapk1ip1l,ENSMUSG00000021840.17,10859,chr14,47298266,47323204,+
Mus musculus,mm10,Mapk3,ENSMUSG00000063065.13,10860,chr7,126759601,126765819,+
Mus musculus,mm10,Mapk4,ENSMUSG00000024558.12,10861,chr18,73928486,74065359,-
Mus musculus,mm10,Mapk6,ENSMUSG00000042688.16,10862,chr9,75369062,75410005,-
Mus musculus,mm10,Mapk7,ENSMUSG00000001034.17,10863,chr11,61488812,61494406,-
Mus musculus,mm10,Mapk8,ENSMUSG00000021936.14,10864,chr14,33377898,33447158,-
Mus musculus,mm10,Mapk8ip1,ENSMUSG00000027223.15,10865,chr2,92383676,92401263,-
Mus musculus,mm10,Mapk8ip2,ENSMUSG00000022619.5,10866,chr15,89453913,89464468,+
Mus musculus,mm10,Mapk8ip3,ENSMUSG00000024163.17,10867,chr17,24892153,24936977,-
Mus musculus,mm10,Mapk9,ENSMUSG00000020366.18,10868,chr11,49846751,49886421,+
Mus musculus,mm10,Mapkap1,ENSMUSG00000038696.14,10869,chr2,34406771,34624950,+
Mus musculus,mm10,Mapkapk2,ENSMUSG00000016528.10,10870,chr1,131053700,131097826,-
Mus musculus,mm10,Mapkapk3,ENSMUSG00000032577.16,10871,chr9,107254927,107289877,-
Mus musculus,mm10,Mapkapk5,ENSMUSG00000029454.15,10872,chr5,121525038,121545905,-
Mus musculus,mm10,Mapkbp1,ENSMUSG00000033902.12,10873,chr2,119972699,120027408,+
Mus musculus,mm10,Mapre1,ENSMUSG00000027479.14,10874,chr2,153741274,153773310,+
Mus musculus,mm10,Mapre2,ENSMUSG00000024277.14,10875,chr18,23752333,23893861,+
Mus musculus,mm10,Mapre3,ENSMUSG00000029166.14,10876,chr5,30814641,30866106,+
Mus musculus,mm10,Mapt,ENSMUSG00000018411.17,10877,chr11,104231390,104332090,+
Mus musculus,mm10,Marchf1,ENSMUSG00000036469.16,10878,chr8,65617900,66471637,+
Mus musculus,mm10,Marchf10,ENSMUSG00000078627.9,10879,chr11,105360798,105456735,-
Mus musculus,mm10,Marchf11,ENSMUSG00000022269.13,10880,chr15,26309048,26409576,+
Mus musculus,mm10,Marchf2,ENSMUSG00000079557.11,10881,chr17,33685692,33718670,-
Mus musculus,mm10,Marchf3,ENSMUSG00000032656.14,10882,chr18,56761716,56925548,-
Mus musculus,mm10,Marchf4,ENSMUSG00000039372.5,10883,chr1,72427112,72536930,-
Mus musculus,mm10,Marchf5,ENSMUSG00000023307.14,10884,chr19,37207543,37222151,+
Mus musculus,mm10,Marchf6,ENSMUSG00000039100.10,10885,chr15,31455891,31531053,-
Mus musculus,mm10,Marchf7,ENSMUSG00000026977.17,10886,chr2,60209887,60250676,+
Mus musculus,mm10,Marchf8,ENSMUSG00000025702.15,10887,chr6,116338024,116409540,+
Mus musculus,mm10,Marchf9,ENSMUSG00000040502.5,10888,chr10,127055011,127060184,-
Mus musculus,mm10,Marcks,ENSMUSG00000069662.5,10889,chr10,37133375,37138920,-
Mus musculus,mm10,Marcksl1,ENSMUSG00000047945.6,10890,chr4,129513581,129515985,+
Mus musculus,mm10,Marco,ENSMUSG00000026390.7,10891,chr1,120474538,120505024,-
Mus musculus,mm10,Marf1,ENSMUSG00000060657.8,10892,chr16,14109173,14163351,-
Mus musculus,mm10,Mark1,ENSMUSG00000026620.11,10893,chr1,184896789,184999570,-
Mus musculus,mm10,Mark2,ENSMUSG00000024969.15,10894,chr19,7275396,7341860,-
Mus musculus,mm10,Mark3,ENSMUSG00000007411.16,10895,chr12,111574523,111656221,+
Mus musculus,mm10,Mark4,ENSMUSG00000030397.11,10896,chr7,19424775,19458821,-
Mus musculus,mm10,Mars1,ENSMUSG00000040354.14,10897,chr10,127296221,127311786,-
Mus musculus,mm10,Mars2,ENSMUSG00000046994.9,10898,chr1,55237177,55248470,+
Mus musculus,mm10,Marveld1,ENSMUSG00000044345.9,10899,chr19,42147400,42151703,+
Mus musculus,mm10,Marveld2,ENSMUSG00000021636.15,10900,chr13,100595957,100616971,-
Mus musculus,mm10,Marveld3,ENSMUSG00000001672.14,10901,chr8,109947914,109962203,-
Mus musculus,mm10,Mas1,ENSMUSG00000068037.11,10902,chr17,12841079,12868143,-
Mus musculus,mm10,Maskbp3,ENSMUSG00000117942.1,10903,chr18,36647860,36665917,+
Mus musculus,mm10,Masp1,ENSMUSG00000022887.9,10904,chr16,23449417,23520815,-
Mus musculus,mm10,Masp2,ENSMUSG00000028979.17,10905,chr4,148602554,148615499,+
Mus musculus,mm10,Mast1,ENSMUSG00000053693.16,10906,chr8,84911903,84937359,-
Mus musculus,mm10,Mast2,ENSMUSG00000003810.13,10907,chr4,116306762,116464183,-
Mus musculus,mm10,Mast3,ENSMUSG00000031833.10,10908,chr8,70778117,70805054,-
Mus musculus,mm10,Mast4,ENSMUSG00000034751.17,10909,chr13,102732486,103334497,-
Mus musculus,mm10,Mastl,ENSMUSG00000026779.6,10910,chr2,23115606,23156024,-
Mus musculus,mm10,Mat1a,ENSMUSG00000037798.7,10911,chr14,41105035,41124412,+
Mus musculus,mm10,Mat2a,ENSMUSG00000053907.10,10912,chr6,72432799,72439558,-
Mus musculus,mm10,Mat2b,ENSMUSG00000042032.13,10913,chr11,40679314,40695203,-
Mus musculus,mm10,Matk,ENSMUSG00000004933.17,10914,chr10,81252935,81263365,+
Mus musculus,mm10,Matn1,ENSMUSG00000040533.7,10915,chr4,130944385,130955475,+
Mus musculus,mm10,Matn2,ENSMUSG00000022324.15,10916,chr15,34306677,34436273,+
Mus musculus,mm10,Matn3,ENSMUSG00000020583.4,10917,chr12,8947929,8972028,+
Mus musculus,mm10,Matn4,ENSMUSG00000016995.17,10918,chr2,164389393,164405160,-
Mus musculus,mm10,Matr3,ENSMUSG00000037236.16,10919,chr18,35562138,35593835,+
Mus musculus,mm10,Mau2,ENSMUSG00000031858.16,10920,chr8,70016123,70042734,-
Mus musculus,mm10,Mavs,ENSMUSG00000037523.13,10921,chr2,131234063,131248025,+
Mus musculus,mm10,Max,ENSMUSG00000059436.13,10922,chr12,76937269,76962201,-
Mus musculus,mm10,Maz,ENSMUSG00000030678.7,10923,chr7,127022130,127027037,-
Mus musculus,mm10,Mb,ENSMUSG00000018893.15,10924,chr15,77015487,77050670,-
Mus musculus,mm10,Mb21d2,ENSMUSG00000051065.9,10925,chr16,28826176,28929673,-
Mus musculus,mm10,Mbd1,ENSMUSG00000024561.11,10926,chr18,74267605,74282732,+
Mus musculus,mm10,Mbd2,ENSMUSG00000024513.16,10927,chr18,70568189,70626131,+
Mus musculus,mm10,Mbd3,ENSMUSG00000035478.14,10928,chr10,80392539,80399550,-
Mus musculus,mm10,Mbd3l1,ENSMUSG00000038691.5,10929,chr9,18478359,18485298,+
Mus musculus,mm10,Mbd3l2,ENSMUSG00000047508.9,10930,chr9,18430654,18446316,+
Mus musculus,mm10,Mbd4,ENSMUSG00000030322.12,10931,chr6,115840697,115853371,-
Mus musculus,mm10,Mbd5,ENSMUSG00000036792.12,10932,chr2,48949508,49325405,+
Mus musculus,mm10,Mbd6,ENSMUSG00000025409.14,10933,chr10,127281956,127289018,-
Mus musculus,mm10,Mbip,ENSMUSG00000021028.8,10934,chr12,56328303,56345894,-
Mus musculus,mm10,Mbl1,ENSMUSG00000037780.3,10935,chr14,41151458,41159601,+
Mus musculus,mm10,Mbl2,ENSMUSG00000024863.6,10936,chr19,30232942,30239687,+
Mus musculus,mm10,Mblac1,ENSMUSG00000049285.4,10937,chr5,138194314,138195621,+
Mus musculus,mm10,Mblac2,ENSMUSG00000051098.6,10938,chr13,81711341,81753275,+
Mus musculus,mm10,Mbnl1,ENSMUSG00000027763.13,10939,chr3,60472830,60629750,+
Mus musculus,mm10,Mbnl2,ENSMUSG00000022139.17,10940,chr14,120275669,120431697,+
Mus musculus,mm10,Mbnl3,ENSMUSG00000036109.17,10941,chrX,51117269,51206532,-
Mus musculus,mm10,Mboat1,ENSMUSG00000038732.15,10942,chr13,30136489,30246717,+
Mus musculus,mm10,Mboat2,ENSMUSG00000020646.17,10943,chr12,24830879,24964397,+
Mus musculus,mm10,Mboat4,ENSMUSG00000071113.4,10944,chr8,34115030,34125182,+
Mus musculus,mm10,Mboat7,ENSMUSG00000035596.14,10945,chr7,3677789,3693523,-
Mus musculus,mm10,Mbp,ENSMUSG00000041607.17,10946,chr18,82475146,82585637,+
Mus musculus,mm10,Mbtd1,ENSMUSG00000059474.13,10947,chr11,93885852,93946985,+
Mus musculus,mm10,Mbtps1,ENSMUSG00000031835.16,10948,chr8,119508156,119558735,-
Mus musculus,mm10,Mbtps2,ENSMUSG00000046873.18,10949,chrX,157535371,157598715,-
Mus musculus,mm10,Mc1r,ENSMUSG00000074037.3,10950,chr8,123407107,123410744,+
Mus musculus,mm10,Mc2r,ENSMUSG00000045569.7,10951,chr18,68406907,68429320,-
Mus musculus,mm10,Mc3r,ENSMUSG00000038537.1,10952,chr2,172248492,172251114,+
Mus musculus,mm10,Mc4r,ENSMUSG00000047259.3,10953,chr18,66857704,66860506,-
Mus musculus,mm10,Mc5r,ENSMUSG00000007480.5,10954,chr18,68337596,68342446,+
Mus musculus,mm10,Mcam,ENSMUSG00000032135.15,10955,chr9,44134469,44142727,+
Mus musculus,mm10,Mcat,ENSMUSG00000048755.9,10956,chr15,83546797,83563787,-
Mus musculus,mm10,Mcc,ENSMUSG00000071856.10,10957,chr18,44425060,44812182,-
